lang,coding,features,val_f1,test_f1,val_precision,test_precision,val_recall,test_recall
ESP,IO,full,0.7679132936375193,0.7955719557195572,0.7776422764227642,0.8062157221206582,0.758424738998282,0.7852055681450307
NED,IO,full,0.754878892733564,0.7584489505514052,0.7767017943605811,0.7772511848341233,0.7342487883683361,0.7405349079541508
